Name:  socialnetwork_user-service_1 | Utilisation:  8.13 | shares  383.21138729551734
Name:  socialnetwork_unique-id-service_1 | Utilisation:  8.64 | shares  407.2504780114723
Name:  socialnetwork_url-shorten-mongodb_1 | Utilisation:  27.46 | shares  1294.3400609022026
Name:  socialnetwork_user-timeline-service_1 | Utilisation:  27.16 | shares  1280.1994193045819
Name:  socialnetwork_compose-post-service_1 | Utilisation:  107.87 | shares  5084.503363784435
Name:  socialnetwork_home-timeline-redis_1 | Utilisation:  0.12 | shares  5.656256639048226
Name:  socialnetwork_media-mongodb_1 | Utilisation:  0.3 | shares  14.140641597620565
Name:  socialnetwork_nginx-thrift_1 | Utilisation:  41.0 | shares  1932.5543516748107
Name:  socialnetwork_media-service_1 | Utilisation:  8.1 | shares  381.7973231357553
*****
Name:  socialnetwork_url-shorten-mongodb_1 | Utilisation:  26.53 | shares  1293.226994763631
Name:  socialnetwork_post-storage-memcached_1 | Utilisation:  0.01 | shares  0.4874583470650701
Name:  socialnetwork_nginx-thrift_1 | Utilisation:  38.6 | shares  1881.5892196711704
Name:  socialnetwork_media-service_1 | Utilisation:  8.04 | shares  391.91651104031627
Name:  socialnetwork_user-timeline-redis_1 | Utilisation:  4.83 | shares  235.44238163242883
Name:  socialnetwork_media-frontend_1 | Utilisation:  0.0 | shares  0.0
Name:  socialnetwork_social-graph-mongodb_1 | Utilisation:  20.85 | shares  1016.3506536306711
Name:  socialnetwork_home-timeline-redis_1 | Utilisation:  0.11 | shares  5.36204181771577
Name:  socialnetwork_unique-id-service_1 | Utilisation:  8.32 | shares  405.5653447581383
Name:  socialnetwork_post-storage-service_1 | Utilisation:  20.54 | shares  1001.2394448716539
Name:  socialnetwork_url-shorten-memcached_1 | Utilisation:  0.01 | shares  0.4874583470650701
Name:  socialnetwork_social-graph-redis_1 | Utilisation:  3.96 | shares  193.03350543776773
Name:  socialnetwork_user-memcached_1 | Utilisation:  12.33 | shares  601.0361419312313
Name:  socialnetwork_post-storage-mongodb_1 | Utilisation:  21.74 | shares  1059.7344465194622
